,Rank (Borda),Model,Zero-shot,Memory Usage (MB),Number of Parameters,Embedding Dimensions,Max Tokens,Mean (Task),Mean (TaskType),Bitext Mining,Classification,Clustering,Instruction Retrieval,Multilabel Classification,Pair Classification,Reranking,Retrieval,STS
0,1,[e5-small-v2](https://huggingface.co/intfloat/e5-small-v2),100%,127,33M,384,512,44.47,37.97,28.04,48.07,37.53,-2.85,15.14,72.13,44.44,39.38,59.87
1,2,[GIST-small-Embedding-v0](https://huggingface.co/avsolatorio/GIST-small-Embedding-v0),96%,127,33M,384,512,44.21,37.8,23.36,47.57,40.47,-2.75,16.79,71.54,43.25,37.22,62.71
2,3,[bge-small-en-v1.5](https://huggingface.co/BAAI/bge-small-en-v1.5),99%,127,33M,512,512,43.76,37.72,23.63,47.37,39.93,-1.86,17.01,71.56,45.89,36.26,59.73
3,4,[e5-small](https://huggingface.co/intfloat/e5-small),100%,127,33M,384,512,43.46,37.18,28.07,46.57,36.3,-1.45,15.22,72.96,39.3,36.25,61.37
4,5,[Ivysaur](https://huggingface.co/Mihaiii/Ivysaur),⚠️ NA,87,22M,384,512,43.54,37.07,22.85,48.44,37.56,-2.22,15.63,71.53,44.07,34.42,61.32
5,6,[GIST-all-MiniLM-L6-v2](https://huggingface.co/avsolatorio/GIST-all-MiniLM-L6-v2),96%,87,22M,384,512,42.7,36.47,22.75,46.49,38.34,-1.94,15.05,71.31,41.45,33.3,61.52
6,7,[all-MiniLM-L12-v2](https://huggingface.co/sentence-transformers/all-MiniLM-L12-v2),100%,127,33M,384,256,42.07,36.14,22.91,46.74,36.33,-0.75,14.59,71.43,44.33,32.5,57.2
7,8,[snowflake-arctic-embed-s](https://huggingface.co/Snowflake/snowflake-arctic-embed-s),100%,127,32M,384,512,42.85,36.33,22.78,46.33,36.67,-3.09,14.84,71.53,40.03,39.84,58.08
8,9,[granite-embedding-30m-english](https://huggingface.co/ibm-granite/granite-embedding-30m-english),96%,58,30M,384,512,42.48,36.3,25.26,46.28,38.27,-2.75,15.39,70.26,42.53,36.43,55.06
9,10,[gte-micro-v4](https://huggingface.co/Mihaiii/gte-micro-v4),⚠️ NA,73,19M,384,512,41.53,34.66,20.46,47.97,35.89,-3.83,14.69,71.73,37.48,30.54,57.01
10,11,[Bulbasaur](https://huggingface.co/Mihaiii/Bulbasaur),⚠️ NA,66,17M,384,512,41.71,35.01,20.45,47.83,35.06,-3.22,14.37,71.94,39.06,29.88,59.72
11,12,[slx-v0.1](https://huggingface.co/brahmairesearch/slx-v0.1),⚠️ NA,87,22M,384,512,41.41,35.16,20.09,46.12,37.89,-2.84,15.05,71.23,40.28,32.51,56.08
12,13,[all-MiniLM-L6-v2](https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2),100%,87,22M,384,256,41.39,35.12,20.09,46.2,37.47,-2.84,15.05,71.23,40.28,32.51,56.08
13,14,[Wartortle](https://huggingface.co/Mihaiii/Wartortle),99%,66,17M,384,512,40.82,34.59,19.75,46.55,34.59,-1.54,14.01,71.23,39.59,27.21,59.97
14,15,[snowflake-arctic-embed-xs](https://huggingface.co/Snowflake/snowflake-arctic-embed-xs),100%,86,22M,384,512,41.13,34.89,20.12,45.21,35.34,-2.36,13.35,71.04,39.69,35.23,56.43
15,16,[Venusaur](https://huggingface.co/Mihaiii/Venusaur),⚠️ NA,60,15M,384,512,39.95,33.48,19.16,47.66,32.15,-1.47,13.52,71.27,38.31,25.64,55.11
16,17,[Squirtle](https://huggingface.co/Mihaiii/Squirtle),99%,60,15M,384,512,39.69,33.61,18.08,45.89,33.66,-1.67,13.82,70.53,39.17,24.85,58.16
17,18,[gte-micro](https://huggingface.co/Mihaiii/gte-micro),⚠️ NA,66,17M,384,512,39.42,33.19,19.37,45.34,34.48,-1.8,13.49,71.39,35.22,26.16,55.08
18,19,[rubert-tiny-turbo](https://huggingface.co/sergeyzh/rubert-tiny-turbo),99%,111,29M,312,2048,39.46,34.86,42.63,41.8,31.38,-2.28,15.89,73.2,38.92,24.4,47.79
19,20,[jina-embedding-s-en-v1](https://huggingface.co/jinaai/jina-embedding-s-en-v1),100%,134,35M,512,512,38.37,33.15,24.8,40.34,30.29,-3.22,12.4,71.52,37.45,32.59,52.16
20,21,[rubert-tiny2](https://huggingface.co/cointegrated/rubert-tiny2),99%,112,29M,312,2048,34.81,30.2,22.65,41.17,29.16,-0.09,15.27,69.6,34.58,14.35,45.13
21,22,[jina-embeddings-v2-small-en](https://huggingface.co/jinaai/jina-embeddings-v2-small-en),100%,62,32M,512,8192,35.22,29.11,12.61,43.81,27.31,-0.75,11.87,70.76,27.61,13.45,55.34
22,23,[rubert-tiny](https://huggingface.co/cointegrated/rubert-tiny),99%,45,11M,312,512,33.85,28.37,17.08,43.85,28.74,-0.89,13.86,67.0,33.18,12.09,40.44
23,24,[mini-gte](https://huggingface.co/prdev/mini-gte),100%,253,66M,768,512,,,,,,,,,,,
24,25,[bge-small-en](https://huggingface.co/BAAI/bge-small-en),99%,127,33M,512,512,,,,,,,,,,,
25,26,[static-retrieval-mrl-en-v1](https://huggingface.co/sentence-transformers/static-retrieval-mrl-en-v1),99%,119,31M,1024,Unknown,,,,,,,,,,,
26,27,[multi-qa-MiniLM-L6-cos-v1](https://huggingface.co/sentence-transformers/multi-qa-MiniLM-L6-cos-v1),100%,87,22M,384,512,,,,,,,,,,,
27,28,[Dmeta-embedding-zh-small](https://huggingface.co/DMetaSoul/Dmeta-embedding-zh-small/),⚠️ NA,283,74M,768,1024,,,,,,,,,,,
28,29,[bge-small-zh-v1.5](https://huggingface.co/BAAI/bge-small-zh-v1.5),100%,91,33M,512,512,,,,,,,,,,,
29,30,[gte-small-zh](https://huggingface.co/thenlper/gte-small-zh),⚠️ NA,58,30M,1024,512,,,,,,,,,,,
30,31,[rubert-mini-frida](https://huggingface.co/sergeyzh/rubert-mini-frida),84%,123,32M,312,2048,,,,,,,,,,,
31,32,[USER2-small](https://huggingface.co/collections/deepvk/user2-6802650d7210f222ec60e05f),95%,131,34M,384,8192,,,,,,,,,,,
32,33,[bge-small-zh](https://huggingface.co/BAAI/bge-small-zh),100%,127,33M,512,512,,,,,,,,,,,
33,34,[opensearch-neural-sparse-encoding-doc-v3-distill](https://huggingface.co/opensearch-project/opensearch-neural-sparse-encoding-doc-v3-distill),100%,267,66M,30522,512,,,,,,,,,,,
34,35,[mxbai-embed-xsmall-v1](https://huggingface.co/mixedbread-ai/mxbai-embed-xsmall-v1),100%,Unknown,24M,384,512,,,,,,,,,,,
35,36,[opensearch-neural-sparse-encoding-doc-v2-distill](https://huggingface.co/opensearch-project/opensearch-neural-sparse-encoding-doc-v2-distill),100%,267,66M,30522,512,,,,,,,,,,,
36,37,[opensearch-neural-sparse-encoding-doc-v2-mini](https://huggingface.co/opensearch-project/opensearch-neural-sparse-encoding-doc-v2-mini),100%,86,22M,30522,512,,,,,,,,,,,
